Division Code,#,Comp. Prd Name,Stockist product,Match,Pack,OPSTK,PURCH,SALE,SALE VAL,IN/OT,STOCK,STK VAL,DEC,NOV,STK120,EXP3M
,217,—,LIBRIUM 10MG TAB,unmatched,15,103.00,70.00,72.00,"₹8,834",0,101.00,"₹11,152",84.00,36.00,0,0
,218,—,LIBRIUM 25MG TAB,unmatched,15TAB,34.00,0,5.00,₹934,0,29.00,"₹4,876",11.00,11.00,0,0
,219,—,LIBRIUM 5MG TAB,unmatched,15TAB,38.00,0,5.00,₹530,0,33.00,"₹3,151",1.00,5.00,0,0
,220,—,LIMCEE TAB,unmatched,15TAB,0,"2,400.00","1,477.00","₹27,768",0,923.00,"₹15,617","1,800.00","2,433.00",0,0
,221,—,LINGRETIN D TAB,unmatched,10,0,0,0,—,0,0,—,0,0,0,0
,222,—,LINORMA T3 20MCG TAB,unmatched,100TAB,13.00,0,5.00,"₹6,171",0,8.00,"₹9,257",2.00,5.00,0,0
,223,—,LINORMA T3 5 MCG TAB,unmatched,100,13.00,10.00,13.00,"₹12,600",0,10.00,"₹9,000",10.00,9.00,0,0
,224,—,LOBATE GN CREAM,unmatched,15GM,8.00,0,1.00,₹69,0,7.00,₹432,0,5.00,0,0
,225,—,LOBATE S OINT,unmatched,30GM,8.00,10.00,7.00,"₹1,287",0,11.00,"₹1,820",2.00,6.00,0,0
,226,—,LOBATE SKIN CREAM,unmatched,30GM,28.00,0,9.00,"₹1,724",0,19.00,"₹3,276",12.00,19.00,0,0
,227,—,MADOPAR TAB,unmatched,10TAB,40.00,30.00,45.00,"₹13,061",0,25.00,"₹6,531",10.00,0,0,0
,228,—,MAZETOL 100MG TAB (DPCO),unmatched,10TAB,29.00,40.00,16.00,₹139,0,53.00,₹413,43.00,20.00,0,0
,229,—,MAZETOL 200MG TAB (DPCO),unmatched,10TAB,336.00,0,130.00,"₹1,660",0,206.00,"₹2,367",156.00,152.00,0,0
,230,—,MAZETOL 400MG TAB (DPCO),unmatched,10TAB,30.00,0,10.00,₹289,0,20.00,₹520,0,10.00,0,0
,231,—,MAZETOL SR 200MG TAB (DPCO),unmatched,15TAB,37.00,0,0,—,0,37.00,₹975,24.00,12.00,0,0
,232,—,MAZETOL SR 300MG,unmatched,15,10.00,0,4.00,₹220,0,6.00,₹297,0,8.00,0,0
,233,—,MAZETOL SR 400MG TAB (DPCO),unmatched,15,29.00,0,14.00,₹796,0,15.00,₹768,11.00,4.00,0,0
,234,—,MDD XR 100,unmatched,15,31.00,0,7.00,"₹3,443",0,24.00,"₹10,625",14.00,8.00,0,0
,235,—,MDD XR 50,unmatched,15,36.00,0,16.00,"₹3,884",0,20.00,"₹4,806",35.00,33.00,0,0
,236,—,MELAGARD MATTE SPF 30+,unmatched,50GM,0,0,0,—,0,0,—,0,0,0,0
,237,—,MELAGARD MATTE SPF 50+,unmatched,50GM,0,0,0,—,0,0,—,0,0,0,0
,238,—,MELAGARD NEW 50+,unmatched,60ML,8.00,0,3.00,"₹1,710",0,5.00,"₹2,565",0,0,5.00,0
,239,—,MELAGLOW NEW,unmatched,30GM,12.00,0,2.00,"₹1,234",0,10.00,"₹5,553",4.00,2.00,0,0
,240,—,MELAGLOW NEW CREAM,unmatched,15GM,12.00,0,3.00,₹988,0,9.00,"₹2,669",2.00,4.00,0,0
,241,—,MELAGLOW PP CREAM,unmatched,40GM,15.00,0,2.00,"₹1,722",0,13.00,"₹10,074",5.00,2.00,0,0
,242,—,MELAGLOW PP FASHWASH,unmatched,100ML,7.00,0,0,—,0,7.00,"₹3,054",0,1.00,2.00,0
,243,—,MELAGLOW PRIME,unmatched,20GM,12.00,0,6.00,"₹2,197",0,6.00,"₹1,977",2.00,3.00,0,0
,244,—,MELAGLOW PRIME LOTION,unmatched,50GM,12.00,0,1.00,₹474,0,11.00,"₹4,692",6.00,0,1.00,0
,245,—,MELAGLOW RICH,unmatched,20GM,23.00,0,8.00,"₹3,135",0,15.00,"₹5,290",21.00,17.00,0,0
,246,—,MELALITE 15 CREAM,unmatched,50GM,103.00,0,4.00,₹728,0,99.00,"₹16,206",1.00,10.00,0,0
,247,—,MELALITE FORTE CREAM,unmatched,30GM,190.00,100.00,168.00,"₹21,840",0,122.00,"₹14,988",210.00,115.00,0,0
,248,—,MELALITE XL,unmatched,15GM,19.00,30.00,19.00,"₹5,131",1.00,31.00,"₹7,535",15.00,3.00,0,0
,249,—,MIGDITAN 100MG,unmatched,4,0,0,0,—,0,0,—,0,0,0,0
,250,—,MIGDITAN 50MG,unmatched,4,0,0,0,—,0,0,—,0,0,0,0
,251,—,MINICHEK,unmatched,60ML,5.00,3.00,3.00,"₹2,270",0,5.00,"₹3,405",1.00,1.00,0,0
,252,—,MINICHEK ANTI HAIR SHAMPOO,unmatched,100ML,0,0,0,—,0,0,—,0,0,0,0
,253,—,MINICHEK F,unmatched,60ML,7.00,12.00,7.00,"₹6,296",0,12.00,"₹9,714",5.00,6.00,0,0
,254,—,MINICHEK F ULTRA,unmatched,60ML,0,0,0,—,0,0,—,0,0,0,0
,255,—,MINICHEK ULTRA,unmatched,60ML,9.00,0,0,—,0,9.00,"₹6,708",0,3.00,0,0
,256,—,MONTI FX TAB,unmatched,10TAB,11.00,20.00,10.00,"₹2,088",0,21.00,"₹3,947",19.00,33.00,0,0
,257,—,MYSOLINE 250MG TAB,unmatched,10TAB,63.00,0,30.00,"₹3,094",0,33.00,"₹3,403",44.00,16.00,0,0
,258,—,NEOMERCAZOLE 10MG TAB (DPCO),unmatched,130,30.00,20.00,22.00,"₹9,907",0,28.00,"₹11,348",23.00,19.00,0,0
,259,—,NEOMERCAZOLE 20MG TAB (DPCO),unmatched,130,6.00,0,1.00,"₹1,467",0,5.00,"₹6,603",0,4.00,0,0
,260,—,NEOMERCAZOLE 5MG TAB (DPCO),unmatched,130,44.00,30.00,30.00,"₹6,917",0,44.00,"₹9,161",30.00,39.00,0,0
,261,—,NERVUP FORTE TAB NEW,unmatched,15TAB,0,0,0,—,0,0,—,0,0,0,0
,262,—,NERVUP INJ,unmatched,1ML,18.00,0,3.00,₹277,0,15.00,"₹1,383",0,10.00,0,0
,263,—,NERVUP OD,unmatched,15CAP,50.00,0,18.00,"₹5,638",0,32.00,"₹9,020",27.00,30.00,0,0
,264,—,NERVUP PG CAP,unmatched,10CAP,13.00,0,5.00,"₹1,289",0,8.00,"₹1,856",5.00,7.00,0,0
,265,—,NERVUP PN TAB,unmatched,10TAB,0,0,0,—,0,0,—,0,0,0,0
,266,—,NICODUCE 10MG TAB,unmatched,20,0,10.00,0,—,0,10.00,"₹4,699",0,0,0,0
,267,—,NICODUCE 5 TAB,unmatched,20TAB,9.00,20.00,9.00,"₹3,441",0,20.00,"₹6,882",7.00,2.00,0,0
,268,—,OX MAZETOL 300MG TAB,unmatched,10TAB,8.00,10.00,8.00,₹985,0,10.00,"₹1,355",1.00,1.00,0,0
,269,—,OZEWID LOTION,unmatched,15ML,12.00,0,4.00,"₹1,037",0,8.00,"₹1,867",1.00,6.00,8.00,0
,270,—,PANKREOFLAT TAB,unmatched,15TAB,56.00,40.00,46.00,"₹10,769",0,50.00,"₹10,535",36.00,32.00,0,0
,271,—,PHENARGAN 10MG TAB,unmatched,10TAB,17.00,50.00,16.00,₹249,0,51.00,₹755,12.00,10.00,1.00,0
