stockist_code,year,month,month_label,pdf_filename,original_name,date_str,time_str,page_count,page_bucket
10034008,2026,2,2026-02,10034008_20260202_110330_rptMonthlySalesAndStock7111202652740257.pdf,rptmonthlysalesandstock7111202652740257,20260202,110330,2,2_pages
10034008,2026,2,2026-02,10034008_20260202_110332_rptMonthlySalesAndStock7111202652755172.pdf,rptmonthlysalesandstock7111202652755172,20260202,110332,1,single_page
10034008,2026,2,2026-02,10034008_20260202_110332_rptMonthlySalesAndStock711120265281357.pdf,rptmonthlysalesandstock711120265281357,20260202,110332,2,2_pages
10034008,2026,2,2026-02,10034008_20260202_110332_rptMonthlySalesAndStock7111202652813638.pdf,rptmonthlysalesandstock7111202652813638,20260202,110332,1,single_page
10034008,2026,2,2026-02,10034008_20260202_110332_rptMonthlySalesAndStock711120265283256.pdf,rptmonthlysalesandstock711120265283256,20260202,110332,1,single_page
10034008,2026,2,2026-02,10034008_20260202_110332_rptMonthlySalesAndStock7111202652857116.pdf,rptmonthlysalesandstock7111202652857116,20260202,110332,1,single_page
10034008,2026,2,2026-02,10034008_20260202_110332_rptMonthlySalesAndStock711120265287406.pdf,rptmonthlysalesandstock711120265287406,20260202,110332,2,2_pages
10034008,2026,2,2026-02,10034008_20260202_110332_rptMonthlySalesAndStock711120265291680.pdf,rptmonthlysalesandstock711120265291680,20260202,110332,2,2_pages
10034008,2026,2,2026-02,10034008_20260202_110332_rptMonthlySalesAndStock7111202652922152.pdf,rptmonthlysalesandstock7111202652922152,20260202,110332,2,2_pages
10034008,2026,2,2026-02,10034008_20260202_110332_rptMonthlySalesAndStock7111202652934956.pdf,rptmonthlysalesandstock7111202652934956,20260202,110332,2,2_pages
10034008,2026,2,2026-02,10034008_20260202_110332_rptMonthlySalesAndStock7111202652941211.pdf,rptmonthlysalesandstock7111202652941211,20260202,110332,1,single_page
10034008,2026,2,2026-02,10034008_20260202_110332_rptMonthlySalesAndStock7111202652947179.pdf,rptmonthlysalesandstock7111202652947179,20260202,110332,1,single_page
10034008,2026,2,2026-02,10034008_20260202_110332_rptMonthlySalesAndStock711120265299899.pdf,rptmonthlysalesandstock711120265299899,20260202,110332,1,single_page
10034008,2026,2,2026-02,10034008_20260202_110333_rptMonthlySalesAndStock7111202652733871.pdf,rptmonthlysalesandstock7111202652733871,20260202,110333,1,single_page
10034008,2026,2,2026-02,10034008_20260202_110333_rptMonthlySalesAndStock7111202652747670.pdf,rptmonthlysalesandstock7111202652747670,20260202,110333,2,2_pages
